country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,population,imfGDP,unGDP,gdpPerCapita
Afghanistan,AFG,2021-06-14,662003,484737,177266,,3272,1.7,1.25,0.46,84,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,38928341,20682000000,20235063330,519.1861
Albania,ALB,2021-06-20,880912,515884,365028,,6355,30.61,17.93,12.68,2208,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-880912-vaksinime/,2877800,17210000000,11863866791,5990.3938
Algeria,DZA,2021-06-06,2500000,2500000,0,,22664,5.7,5.7,,517,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://english.aawsat.com/home/article/3013471/muslim-brotherhood-parties-hope-sweep-algeria-elections,43851043,1.93E+11,1.59E+11,4326.997
Andorra,AND,2021-06-14,51107,34646,16416,,1376,66.15,44.84,21.25,17809,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/,77265,0,2858406626,36951.8018
Angola,AGO,2021-06-20,1380174,866381,513793,,14642,4.2,2.64,1.56,446,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,32866268,96426000000,1.07E+11,2841.6075
Anguilla,AIA,2021-06-18,15198,9183,6015,,37,101.31,61.21,40.09,2466,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,15002,0,337520470,22327.2124
Antigua and Barbuda,ATG,2021-06-17,62204,35611,26593,,559,63.52,36.36,27.16,5708,Oxford/AstraZeneca,Ministry of Health,https://covid19.gov.ag,97928,1809000000,1460157909,18322.5127
Argentina,ARG,2021-06-20,18085389,14397649,3687740,248268,256927,40.02,31.86,8.16,5685,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,45195777,5.15E+11,5.46E+11,11300.1571
Aruba,ABW,2021-06-20,123890,66865,57025,,317,116.04,62.63,53.41,2969,Pfizer/BioNTech,Government of Aruba,https://www.government.aw,106766,2952000000,2667039106,27536.286
Australia,AUS,2021-06-20,6556029,5698309,857720,64553,103040,25.71,22.35,3.36,4041,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations,25499881,1.48E+12,1.30E+12,57447.1711
Austria,AUT,2021-06-20,6874440,4462739,2503224,35720,81349,76.33,49.55,27.79,9032,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/,9006400,4.82E+11,3.91E+11,53264.8758
Azerbaijan,AZE,2021-06-20,2989458,1949635,1039823,,30591,29.48,19.23,10.26,3017,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az,10139175,47429000000,37847204069,4639.2853
Bahamas,BHS,2021-06-19,79246,54199,25047,,1391,20.15,13.78,6.37,3537,Oxford/AstraZeneca,Government of the Bahamas,https://www.facebook.com/opmbs/photos/a.138602006861785/832605630794749/,393248,13710000000,11261800000,34541.5746
Bahrain,BHR,2021-06-20,1943301,1043787,899514,10795,7386,114.21,61.34,52.86,4341,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/,1701583,40707000000,32179073596,23283.8146
Bangladesh,BGD,2021-06-19,10083608,5823245,4260363,,2975,6.12,3.54,2.59,18,Oxford/AstraZeneca,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php,164689383,3.43E+11,2.21E+11,2064.1719
Barbados,BRB,2021-06-17,155423,90735,64688,2073,1004,54.08,31.57,22.51,3494,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4303800389651998/,287371,5339000000,4552793288,18556.8157
Belarus,BLR,2021-06-13,1068413,699141,369272,,20498,11.31,7.4,3.91,2169,"BBIBP-CorV, Sputnik V",World Health Organization,https://covid19.who.int/,9449321,63664000000,47408111179,6742.0238
Belgium,BEL,2021-06-20,9642996,6330438,3523315,23885,138854,83.2,54.62,30.4,11981,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/,11589616,5.54E+11,4.68E+11,47607.0736
Belize,BLZ,2021-06-17,97404,76148,21256,1952,1435,24.5,19.15,5.35,3609,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2708178559480542/,397621,2071000000,1741100000,5114.6663
Benin,BEN,2021-06-08,26624,21834,4790,,761,0.22,0.18,0.04,63,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://covid19.who.int/,12123198,12129000000,8893638002,974.1355
Bermuda,BMU,2021-06-14,76860,41198,35662,,287,123.42,66.16,57.27,4609,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/06/june1520215-30pm-video-govt-covid-19-press-conference/,62273,0,6127341000,98684.8285
Bolivia,BOL,2021-06-18,2181452,1615514,565938,30364,22566,18.69,13.84,4.85,1933,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.boliviasegura.gob.bo/index.php/category/estadistica/,11673029,47052000000,33806395465,3976.3575
Bosnia and Herzegovina,BIH,2021-06-13,315780,252499,63281,,4372,9.63,7.7,1.93,1333,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.faktor.ba/vijest/novalic-potpisan-ugovor-za-nabavku-500000-doza-vakcina-sinofarm/128063,3280815,21343000000,16909904149,6539.9793
Botswana,BWA,2021-06-07,150019,150019,0,,471,6.38,6.38,,200,Oxford/AstraZeneca,Ministry of Health and Wellness,https://twitter.com/BWGovernment/status/1403023571757277192,2351625,20873000000,15566057294,8707.0929
Brazil,BRA,2021-06-20,86960570,62741992,24218578,484728,1260947,40.91,29.52,11.39,5932,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,212559409,2.06E+12,1.80E+12,9638.1461
British Virgin Islands,VGB,2021-06-18,20278,12405,7873,,106,67.06,41.03,26.04,3506,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,30237,0,971237110,31926.5346
Brunei,BRN,2021-06-19,66972,55005,11967,934,737,15.31,12.57,2.74,1685,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/MOHBrunei/photos/pcb.3892198150908522/3892198100908527/,437483,14281000000,11400266878,32344.2016
Bulgaria,BGR,2021-06-20,1660175,911349,748826,3133,11879,23.89,13.12,10.78,1710,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika,6948445,71746000000,53239643485,10403.0021
Burkina Faso,BFA,2021-06-14,17775,17775,0,,1825,0.09,0.09,,87,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,20903278,16266000000,11695117109,756.6603
Cambodia,KHM,2021-06-20,6098584,3366207,2732377,85586,95736,36.48,20.13,16.34,5726,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/4136652739707134,16718971,29309000000,20016747858,1729.508
Cameroon,CMR,2021-06-20,97245,78476,18769,,1250,0.37,0.3,0.07,47,"BBIBP-CorV, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,26545864,42047000000,32217073816,1544.4678
Canada,CAN,2021-06-20,32189274,25105109,7084165,352896,452249,85.29,66.52,18.77,11983,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,37742157,1.83E+12,1.53E+12,48137.4033
Cape Verde,CPV,2021-06-20,63606,60771,2835,,2871,11.44,10.93,0.51,5164,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/,555988,2208000000,1638928099,3929.5388
Cayman Islands,CYM,2021-06-17,87517,47001,40527,,90,133.17,71.52,61.67,1369,"Oxford/AstraZeneca, Pfizer/BioNTech",Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics,65720,0,3844080626,57808.3316
Central African Republic,CAF,2021-06-15,42644,41095,1549,12887,2300,0.88,0.85,0.03,476,"Covaxin, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/,4829764,2485000000,1810388740,505.0833
Chad,TCD,2021-06-10,5324,5324,0,,,0.03,0.03,,,BBIBP-CorV,World Health Organization,https://covid19.who.int/,16425859,12547000000,11267295771,741.7683
Chile,CHL,2021-06-18,21385816,12081916,9521763,102448,138889,111.87,63.2,49.81,7266,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information via github.com/juancri/covid19-vaccination,https://www.gob.cl/yomevacuno/,19116209,3.14E+11,2.47E+11,16320.7947
China,CHN,2021-06-20,1029223000,0,0,18734000,19493286,71.51,,,13543,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,1439323774,1.55E+13,1.12E+13,10710.3777
Colombia,COL,2021-06-20,14953869,10172100,4781769,226343,275583,29.39,19.99,9.4,5416,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4,50882884,3.53E+11,2.82E+11,6881.97
Comoros,COM,2021-06-08,84360,43140,41220,,57,9.7,4.96,4.74,66,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,869595,773000000,1149802573,870.0536
Cook Islands,COK,2021-06-15,12254,9589,2665,,384,69.77,54.59,15.17,21863,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,17564,0,290194195,16521.1611
Costa Rica,CRI,2021-06-14,2150520,1409778,740742,,34906,42.22,27.67,14.54,6852,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion,5094114,63460000000,57435510668,12348.581
Croatia,HRV,2021-06-20,2359472,1450798,908674,,31379,57.47,35.34,22.13,7644,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr,4105268,64590000000,51231002611,15824.4789
Cuba,CUB,2021-06-19,4855270,2244336,905692,133671,181652,42.87,19.81,8,16038,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,11326616,0,89688700000,7924.7767
Curacao,CUW,2021-06-20,164397,88065,76332,358,414,100.18,53.67,46.52,2523,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/,164100,0,3121449966,18941.067
Cyprus,CYP,2021-06-17,739365,443121,296244,10907,8307,84.41,50.59,33.82,9484,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5,875899,26348000000,20046234311,21675.1784
Denmark,DNK,2021-06-20,0,3010813,1641094,,,,51.98,28.33,,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,5792203,3.65E+11,3.07E+11,62708.9821
Djibouti,DJI,2021-06-01,21357,12547,8810,,802,2.16,1.27,0.89,812,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/,988002,2599000000,1891520369,2593.3284
Dominica,DMA,2021-06-14,37978,20134,17844,,63,52.75,27.97,24.79,875,Oxford/AstraZeneca,Government of Dominica,https://dominica.gov.dm/images/coronavirus/June_14-th-Dominica-coronavirus-update.jpg,71991,590000000,581484032,8175.4819
Dominican Republic,DOM,2021-06-20,7012445,4541739,2470706,68779,108729,64.64,41.87,22.78,10023,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/,10847904,90459000000,71583585170,8258.3032
