country,num_vaccines,2dose,1dose,vaccine_per_population,gdpPerCapita
Afghanistan,32134813,177266,484737,0.8470456524206875,519.1861
Albania,2961307,365028,515884,1.4619664326916395,5990.3938
Algeria,36752648,0,2500000,0.8951360176313252,4326.997
Andorra,58919,16416,34691,1.6364718824823659,36951.8018
Angola,31973856,513793,866381,1.0304736455018257,2841.6075
Anguilla,15458,6015,9183,2.444407412345021,22327.2124
Antigua and Barbuda,82981,26593,35611,1.754125479944449,18322.5127
Argentina,45935134,3687740,14397649,1.4981103876143118,11300.1571
Aruba,108302,57025,66865,2.708886724238053,27536.286
Australia,24341233,857720,5698309,1.2452992231610807,57447.1711
Austria,6819136,2503224,4371216,1.7983656066796945,53264.8758
Azerbaijan,9852509,1039823,1949635,1.3691242137550639,4639.2853
Bahamas,424531,25047,54199,1.3447595410529742,34541.5746
Bahrain,1798713,899514,1043787,2.7277705524796616,23283.8146
Bangladesh,172403600,4260363,5823245,1.1339381300614868,2064.1719
Barbados,314972,64688,90735,1.8619937293603044,18556.8157
Belarus,7252389,369272,699141,0.9196506288652909,6742.0238
Belgium,12604442,3523315,6119681,2.2236071497105683,47607.0736
Belize,317089,21256,76148,1.0958903076044777,5114.6663
Benin,12281597,4790,21834,1.0156570073342035,974.1355
Bermuda,63538,35662,41198,2.8272284938898076,98684.8285
Bolivia,11849893,565938,1615514,1.250513726985515,3976.3575
Bosnia and Herzegovina,3303484,63281,252499,1.122448233137193,6539.9793
Botswana,2157401,0,150019,0.9812023600701643,8707.0929
Brazil,192308060,24218578,62741992,1.4277759306340563,9638.1461
British Virgin Islands,22733,7873,12405,1.682838905976122,31926.5346
Brunei,426226,11967,55005,1.1547077257859162,32344.2016
Bulgaria,7380576,748826,911349,1.4088874561142817,10403.0021
Burkina Faso,21202667,0,17775,1.0151729312503044,756.6603
Cambodia,17644936,2732377,3366207,1.583584121295503,1729.508
Cameroon,28868155,18769,78476,1.0918525386854991,1544.4678
Canada,36364999,7084165,25105109,2.0040836033828167,48137.4033
Cape Verde,482212,2835,60771,0.9868072692216379,3929.5388
Cayman Islands,56414,40527,46990,2.8067255021302495,57808.3316
Central African Republic,3656973,1549,41095,0.7663244001156164,505.0833
Chad,15931553,0,5324,0.9702309632634738,741.7683
Chile,18228564,9521763,11864053,2.5703915980412226,16320.7947
China,1154469936,0,1029223000,1.5171658909873602,10710.3777
Colombia,49124975,4781769,10172100,1.353315841924369,6881.97
Comoros,656485,41220,43140,0.8993439474697992,870.0536
Cook Islands,16223,2665,9589,1.7730585288089273,16521.1611
Costa Rica,5302197,740742,1409778,1.6084168905525082,12348.581
Croatia,3280051,908674,1450798,1.5950717468384525,15824.4789
Cuba,10514748,905692,3949578,1.4369437438331096,7924.7767
